source_speaker_id	rank	age	gender	accent	region	source_utterance_id	duration_sec	transcript	audio_path
p232	2	23	M	English	Southern  England	p232_018	4.98425	Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.	wav48_silence_trimmed/p232/p232_018_mic1.flac
p232	3	23	M	English	Southern  England	p232_409	4.952	Quality Meat Scotland was vigorous in its defence of the labelling.	wav48_silence_trimmed/p232/p232_409_mic1.flac
p232	4	23	M	English	Southern  England	p232_232	4.938771	It is perfectly evident that the time for an inquiry will come.	wav48_silence_trimmed/p232/p232_232_mic1.flac
p232	5	23	M	English	Southern  England	p232_012	4.717646	Throughout the centuries people have explained the rainbow in various ways.	wav48_silence_trimmed/p232/p232_012_mic1.flac
p233	1	23	F	English	Staffordshire	p233_267	4.988708	George W Bush, the US president, condemned the attacks.	wav48_silence_trimmed/p233/p233_267_mic1.flac
p233	2	23	F	English	Staffordshire	p233_044	4.979229	At the moment, we do not know the extent of their injuries.	wav48_silence_trimmed/p233/p233_044_mic1.flac
p233	3	23	F	English	Staffordshire	p233_301	4.952562	That might be a punishment but it would also punish the patients.	wav48_silence_trimmed/p233/p233_301_mic1.flac
p233	4	23	F	English	Staffordshire	p233_238	5.059083	Rangers can expect a physical battle in the national stadium tonight.	wav48_silence_trimmed/p233/p233_238_mic1.flac
p233	5	23	F	English	Staffordshire	p233_259	5.063604	One MP said he feared the job losses were only the beginning.	wav48_silence_trimmed/p233/p233_259_mic1.flac
p234	1	22	F	Scottish	West  Dumfries	p234_238	5.019354	I was not overly concerned about this.	wav48_silence_trimmed/p234/p234_238_mic1.flac
p234	2	22	F	Scottish	West  Dumfries	p234_030	5.027563	On our numbers, the price is in line with the asset value.	wav48_silence_trimmed/p234/p234_030_mic1.flac
p234	3	22	F	Scottish	West  Dumfries	p234_309	4.963875	That was a bonus, but it was not the main objective.	wav48_silence_trimmed/p234/p234_309_mic1.flac
p234	4	22	F	Scottish	West  Dumfries	p234_330	5.081521	It depends on the internal discussions in the Ministry of Defence.	wav48_silence_trimmed/p234/p234_330_mic1.flac
p234	5	22	F	Scottish	West  Dumfries	p234_265	4.904708	Investors were also concerned about margin pressure.	wav48_silence_trimmed/p234/p234_265_mic1.flac
p236	1	23	F	English	Manchester	p236_004	4.867146	We also need a small plastic snake and a big toy frog for the kids.	wav48_silence_trimmed/p236/p236_004_mic1.flac
p236	2	23	F	English	Manchester	p236_015	5.248271	The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.	wav48_silence_trimmed/p236/p236_015_mic1.flac
p236	3	23	F	English	Manchester	p236_018	5.252	Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.	wav48_silence_trimmed/p236/p236_018_mic1.flac
p236	4	23	F	English	Manchester	p236_009	4.608542	There is , according to legend, a boiling pot of gold at one end.	wav48_silence_trimmed/p236/p236_009_mic1.flac
p236	5	23	F	English	Manchester	p236_014	4.569312	To the Hebrews it was a token that there would be no more universal floods.	wav48_silence_trimmed/p236/p236_014_mic1.flac
p237	1	22	M	Scottish	Fife	p237_291	4.906271	However, he will have his work cut out defending his title.	wav48_silence_trimmed/p237/p237_291_mic1.flac
p237	2	22	M	Scottish	Fife	p237_013	5.118	Some have accepted it as a miracle without physical explanation.	wav48_silence_trimmed/p237/p237_013_mic1.flac
p237	3	22	M	Scottish	Fife	p237_345	4.866229	They made clear that they are not interested in Government assistance.	wav48_silence_trimmed/p237/p237_345_mic1.flac
p237	4	22	M	Scottish	Fife	p237_014	5.164125	To the Hebrews it was a token that there would be no more universal floods.	wav48_silence_trimmed/p237/p237_014_mic1.flac
p237	5	22	M	Scottish	Fife	p237_094	5.167104	I have every confidence in Raymond Robertson as chairman of the party.	wav48_silence_trimmed/p237/p237_094_mic1.flac
p238	1	22	F	NorthernIrish	Belfast	p238_266	4.995312	The question is whether private investors should follow their example.	wav48_silence_trimmed/p238/p238_266_mic1.flac
p238	2	22	F	NorthernIrish	Belfast	p238_135	4.995125	No one person or small group could be singled out.	wav48_silence_trimmed/p238/p238_135_mic1.flac
p238	3	22	F	NorthernIrish	Belfast	p238_044	4.994958	It is about regular committed giving which is the real attraction.	wav48_silence_trimmed/p238/p238_044_mic1.flac
p238	4	22	F	NorthernIrish	Belfast	p238_333	4.994375	Flanker Gordon Simpson may also feature in that match.	wav48_silence_trimmed/p238/p238_333_mic1.flac
p238	5	22	F	NorthernIrish	Belfast	p238_136	5.007708	Western countries condemned the conduct of the poll.	wav48_silence_trimmed/p238/p238_136_mic1.flac
p239	1	22	F	English	SW  England	p239_004	4.997312	We also need a small plastic snake and a big toy frog for the kids.	wav48_silence_trimmed/p239/p239_004_mic1.flac
p239	2	22	F	English	SW  England	p239_103	4.953021	We have a major concern about enforcement action.	wav48_silence_trimmed/p239/p239_103_mic1.flac
p239	3	22	F	English	SW  England	p239_015	5.078729	The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.	wav48_silence_trimmed/p239/p239_015_mic1.flac
p239	4	22	F	English	SW  England	p239_006	4.910083	When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.	wav48_silence_trimmed/p239/p239_006_mic1.flac
p239	5	22	F	English	SW  England	p239_018	4.867042	Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.	wav48_silence_trimmed/p239/p239_018_mic1.flac
p240	1	21	F	English	Southern  England	p240_363	5.038062	A spokeswoman for Edinburgh City Council confirmed its support for the company.	wav48_silence_trimmed/p240/p240_363_mic1.flac
p240	2	21	F	English	Southern  England	p240_251	4.958938	In short, the Scottish excess is not difficult to justify.	wav48_silence_trimmed/p240/p240_251_mic1.flac
p240	3	21	F	English	Southern  England	p240_175	4.874313	Star and producer were in agreement about their opinion of the director.	wav48_silence_trimmed/p240/p240_175_mic1.flac
p240	4	21	F	English	Southern  England	p240_190	5.144729	Treasury spokesman Malcolm Bruce is also considered a potential contender.	wav48_silence_trimmed/p240/p240_190_mic1.flac
p240	5	21	F	English	Southern  England	p240_213	4.822417	We have the experience, the courses, and an abundance of confidence.	wav48_silence_trimmed/p240/p240_213_mic1.flac
p241	1	21	M	Scottish	Perth	p241_303	5.0585	The report will go before the Scottish Parliament, probably in early autumn.	wav48_silence_trimmed/p241/p241_303_mic1.flac
p241	2	21	M	Scottish	Perth	p241_308	4.875958	The Government in Westminster is simply not prepared to save him.	wav48_silence_trimmed/p241/p241_308_mic1.flac
p241	3	21	M	Scottish	Perth	p241_004	4.774875	We also need a small plastic snake and a big toy frog for the kids.	wav48_silence_trimmed/p241/p241_004_mic1.flac
p241	4	21	M	Scottish	Perth	p241_063	5.259062	Over time, with patience and precision, the terrorists will be pursued.	wav48_silence_trimmed/p241/p241_063_mic1.flac
p241	5	21	M	Scottish	Perth	p241_340	4.723375	They made clear that they are not interested in Government assistance.	wav48_silence_trimmed/p241/p241_340_mic1.flac
p243	1	22	M	English	London	p243_349	4.993563	I'm extremely confident something will happen within the next couple of days.	wav48_silence_trimmed/p243/p243_349_mic1.flac
p243	2	22	M	English	London	p243_394	5.036208	In my opinion, any transfer to a foreign club will help him progress.	wav48_silence_trimmed/p243/p243_394_mic1.flac
p243	3	22	M	English	London	p243_087	5.03625	I have no problems playing with such capable players in front of me.	wav48_silence_trimmed/p243/p243_087_mic1.flac
p243	4	22	M	English	London	p243_248	5.036854	The pair will meet again in Glasgow, and then train together in Australia.	wav48_silence_trimmed/p243/p243_248_mic1.flac
p243	5	22	M	English	London	p243_325	4.954063	His name was first linked last year to Business for Scotland.	wav48_silence_trimmed/p243/p243_325_mic1.flac
p244	1	22	F	English	Manchester	p244_009	5.007729	There is , according to legend, a boiling pot of gold at one end.	wav48_silence_trimmed/p244/p244_009_mic1.flac
p244	2	22	F	English	Manchester	p244_004	4.955208	We also need a small plastic snake and a big toy frog for the kids.	wav48_silence_trimmed/p244/p244_004_mic1.flac
p244	3	22	F	English	Manchester	p244_365	4.8365	On Thursday, Mr Blair will address the Institute of Public Policy Research.	wav48_silence_trimmed/p244/p244_365_mic1.flac
p244	4	22	F	English	Manchester	p244_014	5.166021	To the Hebrews it was a token that there would be no more universal floods.	wav48_silence_trimmed/p244/p244_014_mic1.flac
p244	5	22	F	English	Manchester	p244_329	5.316208	Overall, we continue to look to the future with confidence.	wav48_silence_trimmed/p244/p244_329_mic1.flac
p245	1	25	M	Irish	Dublin	p245_309	4.980292	and that another interested body should have an option to buy.	wav48_silence_trimmed/p245/p245_309_mic1.flac
p245	2	25	M	Irish	Dublin	p245_269	5.028771	However, he will have his work cut out defending his title.	wav48_silence_trimmed/p245/p245_269_mic1.flac
p245	3	25	M	Irish	Dublin	p245_203	4.956688	The council has proposed a temporary barrier to protect the monument.	wav48_silence_trimmed/p245/p245_203_mic1.flac
p245	4	25	M	Irish	Dublin	p245_081	4.945979	It just shows the arrogance of Labour and the Liberal Democrats.	wav48_silence_trimmed/p245/p245_081_mic1.flac
p245	5	25	M	Irish	Dublin	p245_337	5.056271	But the disease has not been confined to the Tory Party.	wav48_silence_trimmed/p245/p245_337_mic1.flac
p246	1	22	M	Scottish	Selkirk	p246_137	5.008854	We will continue to talk to find a solution for Scottish football.	wav48_silence_trimmed/p246/p246_137_mic1.flac
p246	2	22	M	Scottish	Selkirk	p246_132	4.971	We are currently consulting with a wide range of interested parties.	wav48_silence_trimmed/p246/p246_132_mic1.flac
p246	3	22	M	Scottish	Selkirk	p246_254	4.958292	One MP said he feared the job losses were only the beginning.	wav48_silence_trimmed/p246/p246_254_mic1.flac
p246	4	22	M	Scottish	Selkirk	p246_029	5.048312	They were described as being in a serious but stable condition yesterday.	wav48_silence_trimmed/p246/p246_029_mic1.flac
p246	5	22	M	Scottish	Selkirk	p246_312	4.947583	and that another interested body should have an option to buy.	wav48_silence_trimmed/p246/p246_312_mic1.flac
p247	1	22	M	Scottish	Argyll	p247_009	5.046458	There is , according to legend, a boiling pot of gold at one end.	wav48_silence_trimmed/p247/p247_009_mic1.flac
p247	2	22	M	Scottish	Argyll	p247_176	4.941	Local managers are already involved in talks with potential investors.	wav48_silence_trimmed/p247/p247_176_mic1.flac
p247	3	22	M	Scottish	Argyll	p247_014	4.865917	To the Hebrews it was a token that there would be no more universal floods.	wav48_silence_trimmed/p247/p247_014_mic1.flac
p247	4	22	M	Scottish	Argyll	p247_064	4.852437	George Robertson described the plan as an outrageous and disgraceful decision.	wav48_silence_trimmed/p247/p247_064_mic1.flac
p247	5	22	M	Scottish	Argyll	p247_012	4.827396	Throughout the centuries people have explained the rainbow in various ways.	wav48_silence_trimmed/p247/p247_012_mic1.flac
p248	1	23	F	Indian		p248_112	4.962146	Naturally, it was not difficult to find support for these proposals.	wav48_silence_trimmed/p248/p248_112_mic1.flac
p248	2	23	F	Indian		p248_064	5.044313	It's also important that they are not seen as a soft option.	wav48_silence_trimmed/p248/p248_064_mic1.flac
p248	3	23	F	Indian		p248_088	4.954438	Global Scotland will be held at the Glasgow Royal Concert Hall.	wav48_silence_trimmed/p248/p248_088_mic1.flac
p248	4	23	F	Indian		p248_217	4.922646	The workers do not want to read about their futures in newspapers.	wav48_silence_trimmed/p248/p248_217_mic1.flac
p248	5	23	F	Indian		p248_275	5.080063	Yesterday, he had a chilling warning for the game in Scotland.	wav48_silence_trimmed/p248/p248_275_mic1.flac
p249	1	22	F	Scottish	Aberdeen	p249_004	4.952604	We also need a small plastic snake and a big toy frog for the kids.	wav48_silence_trimmed/p249/p249_004_mic1.flac
p249	2	22	F	Scottish	Aberdeen	p249_113	4.949958	It will also require a lengthy series of clinical trials.	wav48_silence_trimmed/p249/p249_113_mic1.flac
p249	3	22	F	Scottish	Aberdeen	p249_278	4.943729	Several other pupils and staff were seriously injured in the accident.	wav48_silence_trimmed/p249/p249_278_mic1.flac
p249	4	22	F	Scottish	Aberdeen	p249_225	4.93025	On a technical level, they were not afraid to play good football.	wav48_silence_trimmed/p249/p249_225_mic1.flac
p249	5	22	F	Scottish	Aberdeen	p249_338	4.894375	The announcement was made after inquiries from a national newspaper.	wav48_silence_trimmed/p249/p249_338_mic1.flac
p250	1	22	F	English	SE  England	p250_438	4.99475	National Farmer's Union of Scotland president, Jim Walker, welcomed the new proposals.	wav48_silence_trimmed/p250/p250_438_mic1.flac
p250	2	22	F	English	SE  England	p250_015	5.037125	The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.	wav48_silence_trimmed/p250/p250_015_mic1.flac
p250	3	22	F	English	SE  England	p250_018	5.080563	Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.	wav48_silence_trimmed/p250/p250_018_mic1.flac
p250	4	22	F	English	SE  England	p250_173	4.782417	Yesterday Abbey National said it had injected further capital into Scottish Provident.	wav48_silence_trimmed/p250/p250_173_mic1.flac
p250	5	22	F	English	SE  England	p250_094	4.751812	The commission initiated the necessary changes in the financial regulation.	wav48_silence_trimmed/p250/p250_094_mic1.flac
p251	1	26	M	Indian		p251_009	4.994104	There is , according to legend, a boiling pot of gold at one end.	wav48_silence_trimmed/p251/p251_009_mic1.flac
p251	2	26	M	Indian		p251_364	5.040146	A spokeswoman for Edinburgh City Council confirmed its support for the company.	wav48_silence_trimmed/p251/p251_364_mic1.flac
p251	3	26	M	Indian		p251_288	5.084292	Our dispute is with the company, not the travelling public.	wav48_silence_trimmed/p251/p251_288_mic1.flac
p251	4	26	M	Indian		p251_035	5.086458	They did not replace it with a conviction for culpable homicide.	wav48_silence_trimmed/p251/p251_035_mic1.flac
p251	5	26	M	Indian		p251_014	5.087917	To the Hebrews it was a token that there would be no more universal floods.	wav48_silence_trimmed/p251/p251_014_mic1.flac
p252	1	22	M	Scottish	Edinburgh	p252_007	5.001021	The rainbow is a division of white light into many beautiful colors.	wav48_silence_trimmed/p252/p252_007_mic1.flac
p252	2	22	M	Scottish	Edinburgh	p252_385	4.970063	Tourism is a vital industry for Scotland.	wav48_silence_trimmed/p252/p252_385_mic1.flac
p252	3	22	M	Scottish	Edinburgh	p252_089	5.037396	It was exactly four months away.	wav48_silence_trimmed/p252/p252_089_mic1.flac
p252	4	22	M	Scottish	Edinburgh	p252_222	4.944333	Good records have also been recognised by successful farmers.	wav48_silence_trimmed/p252/p252_222_mic1.flac
p252	5	22	M	Scottish	Edinburgh	p252_382	5.058208	He said he had now written to Scottish Industry Minister Lord Macdonald.	wav48_silence_trimmed/p252/p252_382_mic1.flac
p253	1	22	F	Welsh	Cardiff	p253_262	4.891292	He claimed his insurance company contested the damages, not the restaurant.	wav48_silence_trimmed/p253/p253_262_mic1.flac
p253	2	22	F	Welsh	Cardiff	p253_004	5.132313	We also need a small plastic snake and a big toy frog for the kids.	wav48_silence_trimmed/p253/p253_004_mic1.flac
p253	3	22	F	Welsh	Cardiff	p253_147	4.820729	He sets the nature of his Parliament in a simple, realistic context.	wav48_silence_trimmed/p253/p253_147_mic1.flac
p253	4	22	F	Welsh	Cardiff	p253_227	5.251083	Jim Wallace, the justice minister, acknowledged that prisoner numbers were a concern.	wav48_silence_trimmed/p253/p253_227_mic1.flac
p253	5	22	F	Welsh	Cardiff	p253_014	5.280417	To the Hebrews it was a token that there would be no more universal floods.	wav48_silence_trimmed/p253/p253_014_mic1.flac
p254	1	21	M	English	Surrey	p254_014	5.000667	To the Hebrews it was a token that there would be no more universal floods.	wav48_silence_trimmed/p254/p254_014_mic1.flac
p254	2	21	M	English	Surrey	p254_226	5.086375	Jim Wallace, the justice minister, acknowledged that prisoner numbers were a concern.	wav48_silence_trimmed/p254/p254_226_mic1.flac
p254	3	21	M	English	Surrey	p254_004	5.156604	We also need a small plastic snake and a big toy frog for the kids.	wav48_silence_trimmed/p254/p254_004_mic1.flac
p254	4	21	M	English	Surrey	p254_044	4.702063	However, the decision has been welcomed by Scottish Enterprise officials.	wav48_silence_trimmed/p254/p254_044_mic1.flac
p254	5	21	M	English	Surrey	p254_006	5.307958	When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.	wav48_silence_trimmed/p254/p254_006_mic1.flac
p255	1	19	M	Scottish	Galloway	p255_035	4.991229	Two other men, including the taxi driver, were wounded in the attack.	wav48_silence_trimmed/p255/p255_035_mic1.flac
p255	2	19	M	Scottish	Galloway	p255_009	5.027146	There is , according to legend, a boiling pot of gold at one end.	wav48_silence_trimmed/p255/p255_009_mic1.flac
p255	3	19	M	Scottish	Galloway	p255_307	4.964458	The report will go before the Scottish Parliament, probably in early autumn.	wav48_silence_trimmed/p255/p255_307_mic1.flac
p255	4	19	M	Scottish	Galloway	p255_057	5.038146	George Robertson described the plan as an outrageous and disgraceful decision.	wav48_silence_trimmed/p255/p255_057_mic1.flac
p255	5	19	M	Scottish	Galloway	p255_298	5.071708	I have tonight resigned as member of the European Commission.	wav48_silence_trimmed/p255/p255_298_mic1.flac
p256	1	24	M	English	Birmingham	p256_241	5.015646	Attendance at the project is a condition of a probation order.	wav48_silence_trimmed/p256/p256_241_mic1.flac
p256	2	24	M	English	Birmingham	p256_223	4.978667	At the top of the structure will remain the post of headteacher.	wav48_silence_trimmed/p256/p256_223_mic1.flac
p256	3	24	M	English	Birmingham	p256_229	4.974125	I am very sorry that Alastair Campbell has taken this decision.	wav48_silence_trimmed/p256/p256_229_mic1.flac
p256	4	24	M	English	Birmingham	p256_216	5.026667	The workers do not want to read about their futures in newspapers.	wav48_silence_trimmed/p256/p256_216_mic1.flac
p256	5	24	M	English	Birmingham	p256_261	4.943333	Until recently, she worked as a recruitment consultant in London.	wav48_silence_trimmed/p256/p256_261_mic1.flac
p257	1	24	F	English	Southern  England	p257_024	5.076521	This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.	wav48_silence_trimmed/p257/p257_024_mic1.flac
p257	2	24	F	English	Southern  England	p257_015	4.782792	The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.	wav48_silence_trimmed/p257/p257_015_mic1.flac
p257	3	24	F	English	Southern  England	p257_022	5.239021	The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.	wav48_silence_trimmed/p257/p257_022_mic1.flac
p257	4	24	F	English	Southern  England	p257_018	4.738604	Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.	wav48_silence_trimmed/p257/p257_018_mic1.flac
p257	5	24	F	English	Southern  England	p257_005	4.6945	She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.	wav48_silence_trimmed/p257/p257_005_mic1.flac
p258	1	22	M	English	Southern  England	p258_356	4.950958	A spokeswoman for Edinburgh City Council confirmed its support for the company.	wav48_silence_trimmed/p258/p258_356_mic1.flac
p258	2	22	M	English	Southern  England	p258_133	4.907646	Everyone is in favour of the need for welfare reform in general.	wav48_silence_trimmed/p258/p258_133_mic1.flac
p258	3	22	M	English	Southern  England	p258_009	4.870292	There is , according to legend, a boiling pot of gold at one end.	wav48_silence_trimmed/p258/p258_009_mic1.flac
p258	4	22	M	English	Southern  England	p258_240	4.835375	Attendance at the project is a condition of a probation order.	wav48_silence_trimmed/p258/p258_240_mic1.flac
p258	5	22	M	English	Southern  England	p258_067	4.779937	Chris Smith, the culture secretary, said he was satisfied with the decision.	wav48_silence_trimmed/p258/p258_067_mic1.flac
p259	1	23	M	English	Nottingham	p259_012	4.974771	Throughout the centuries people have explained the rainbow in various ways.	wav48_silence_trimmed/p259/p259_012_mic1.flac
p259	2	23	M	English	Nottingham	p259_428	5.065583	In general terms, the proposals are very much in line with expectations.	wav48_silence_trimmed/p259/p259_428_mic1.flac
p259	3	23	M	English	Nottingham	p259_317	4.892188	This would provide a significant and welcome boost for local employment.	wav48_silence_trimmed/p259/p259_317_mic1.flac
p259	4	23	M	English	Nottingham	p259_017	4.889792	Others have tried to explain the phenomenon physically.	wav48_silence_trimmed/p259/p259_017_mic1.flac
p259	5	23	M	English	Nottingham	p259_004	4.836458	We also need a small plastic snake and a big toy frog for the kids.	wav48_silence_trimmed/p259/p259_004_mic1.flac
p260	1	21	M	Scottish	Orkney	p260_133	5.014167	On Friday, the headteacher and deputy headteacher appeared at the door.	wav48_silence_trimmed/p260/p260_133_mic1.flac
p260	2	21	M	Scottish	Orkney	p260_073	5.025708	Chris Smith, the culture secretary, said he was satisfied with the decision.	wav48_silence_trimmed/p260/p260_073_mic1.flac
p260	3	21	M	Scottish	Orkney	p260_337	5.038875	Labour's Scottish general secretary Alex Rowley was delighted yesterday.	wav48_silence_trimmed/p260/p260_337_mic1.flac
p260	4	21	M	Scottish	Orkney	p260_099	5.049458	However, the intensive care unit at the Southern General Hospital was full.	wav48_silence_trimmed/p260/p260_099_mic1.flac
p260	5	21	M	Scottish	Orkney	p260_006	5.056396	When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.	wav48_silence_trimmed/p260/p260_006_mic1.flac
p261	1	26	F	NorthernIrish	Belfast	p261_199	4.824708	On Friday, the headteacher and deputy headteacher appeared at the door.	wav48_silence_trimmed/p261/p261_199_mic1.flac
p261	2	26	F	NorthernIrish	Belfast	p261_072	4.728	The talks were announced yesterday by Brian Wilson, the foreign office minister.	wav48_silence_trimmed/p261/p261_072_mic1.flac
p261	3	26	F	NorthernIrish	Belfast	p261_014	4.651646	To the Hebrews it was a token that there would be no more universal floods.	wav48_silence_trimmed/p261/p261_014_mic1.flac
p261	4	26	F	NorthernIrish	Belfast	p261_018	5.421333	Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.	wav48_silence_trimmed/p261/p261_018_mic1.flac
p261	5	26	F	NorthernIrish	Belfast	p261_009	4.569771	There is , according to legend, a boiling pot of gold at one end.	wav48_silence_trimmed/p261/p261_009_mic1.flac
p262	1	23	F	Scottish	Edinburgh	p262_210	4.994354	The proposals are to be debated on Monday by city councillors.	wav48_silence_trimmed/p262/p262_210_mic1.flac
p262	2	23	F	Scottish	Edinburgh	p262_026	5.015271	They should have a major rethink about the event for next year.	wav48_silence_trimmed/p262/p262_026_mic1.flac
p262	3	23	F	Scottish	Edinburgh	p262_054	5.017417	Already, he has been a tremendous influence in the dressing room.	wav48_silence_trimmed/p262/p262_054_mic1.flac
p262	4	23	F	Scottish	Edinburgh	p262_098	5.020146	However, the intensive care unit at the Southern General Hospital was full.	wav48_silence_trimmed/p262/p262_098_mic1.flac
